"# Sensor Luktvassvegen, Mosjøen - Mussere, Norway (Citizen Science project sensor.community/82574)"
# https://aqicn.org/station/@411634/
# Daily pm25
"date,min,max,median,q1,q3,stdev,count"
"2023-10-31T00:00:00.000Z,0.05,16.05,1.05,0.55,1.8,1.387,581"
"2023-11-01T00:00:00.000Z,0.2,5.88,1.21,0.9,1.55,0.591,494"
"2023-11-02T00:00:00.000Z,0.1,6.4,0.68,0.47,1,0.498,528"
"2023-11-03T00:00:00.000Z,0.1,2.65,0.8,0.5,1.1,0.42,581"
"2023-11-04T00:00:00.000Z,0.1,2.22,0.5,0.38,0.68,0.235,587"
"2023-11-05T00:00:00.000Z,0.03,3.9,0.5,0.3,0.88,0.481,584"
"2023-11-06T00:00:00.000Z,0.22,5.95,1.14,0.7,1.95,0.771,571"
"2023-11-07T00:00:00.000Z,0.98,28.02,2.2,1.7,2.65,1.305,568"
"2023-11-08T00:00:00.000Z,1.23,54.65,2.1,1.9,2.47,2.359,579"
"2023-11-09T00:00:00.000Z,0.65,9.32,1.6,1.25,1.95,0.921,402"
"2023-11-18T00:00:00.000Z,0.5,1.73,0.98,0.8,1.12,0.23,102"
"2023-11-19T00:00:00.000Z,0.17,3.55,0.88,0.6,1.23,0.497,577"
"2023-11-20T00:00:00.000Z,0,4.55,1,0.5,1.6,0.75,577"
"2023-11-21T00:00:00.000Z,0.1,4.09,0.82,0.55,1.23,0.533,574"
"2023-11-22T00:00:00.000Z,0,7.07,0.6,0.4,0.77,0.427,584"
"2023-11-23T00:00:00.000Z,0,2.97,1.2,0.8,1.6,0.516,584"
"2023-11-24T00:00:00.000Z,0.22,8.44,1.42,1,2.17,1.004,404"
"2023-11-25T00:00:00.000Z,0.1,4.34,0.85,0.6,1.17,0.523,579"
"2023-11-26T00:00:00.000Z,0,4.53,0.65,0.32,1.02,0.629,577"
"2023-11-27T00:00:00.000Z,0,3.95,0.73,0.4,1.14,0.551,583"
"2023-11-28T00:00:00.000Z,0.1,7.55,1.33,0.63,2.08,1.081,586"
