date,pm25,pm10,city,suspect_spike
2025-06-08,17.0,5.0,tromso,False
2025-06-09,17.0,11.0,tromso,False
2025-06-10,21.0,16.0,tromso,False
2025-06-11,22.0,19.0,tromso,False
2025-06-12,19.0,15.0,tromso,False
2025-06-13,17.0,18.0,tromso,False
2025-06-14,29.0,20.0,tromso,False
2025-06-15,17.0,8.0,tromso,False
2025-06-16,19.0,13.0,tromso,False
2025-06-26,20.0,16.0,tromso,False
2025-06-27,19.0,16.0,tromso,False
2025-06-28,21.0,14.0,tromso,False
2025-06-29,23.0,11.0,tromso,False
2025-06-30,27.0,19.0,tromso,False
2025-01-01,25.0,8.0,tromso,False
2025-01-02,25.0,6.0,tromso,False
2025-01-03,17.0,9.0,tromso,False
2025-01-04,22.0,6.0,tromso,False
2025-01-05,21.0,8.0,tromso,False
2025-01-06,23.0,11.0,tromso,False
2025-01-07,32.0,15.0,tromso,False
2025-01-08,29.0,12.0,tromso,False
2025-01-09,25.0,6.0,tromso,False
2025-01-10,21.0,5.0,tromso,False
2025-01-11,22.0,4.0,tromso,False
2025-01-12,24.0,,tromso,False
2025-01-14,28.0,1.0,tromso,False
2025-01-15,23.0,,tromso,False
2025-03-17,15.0,6.0,tromso,False
2025-03-18,12.0,9.0,tromso,False
2025-03-19,17.0,8.0,tromso,False
2025-03-20,18.0,7.0,tromso,False
2025-03-21,14.0,7.0,tromso,False
2025-03-22,19.0,12.0,tromso,False
2025-03-23,31.0,16.0,tromso,False
2025-03-24,58.0,9.0,tromso,False
2025-03-25,26.0,6.0,tromso,False
2024-10-01,18.0,15.0,tromso,False
2024-10-02,16.0,11.0,tromso,False
2024-10-03,16.0,5.0,tromso,False
2024-10-04,15.0,4.0,tromso,False
2024-10-05,15.0,3.0,tromso,False
2024-10-06,13.0,14.0,tromso,False
2024-10-07,16.0,39.0,tromso,False
2024-10-08,15.0,9.0,tromso,False
2024-10-09,10.0,48.0,tromso,False
2024-10-10,21.0,4.0,tromso,False
2024-10-11,14.0,37.0,tromso,False
2024-10-12,17.0,36.0,tromso,False
2024-10-13,18.0,29.0,tromso,False
2024-10-14,20.0,4.0,tromso,False
2024-10-15,14.0,4.0,tromso,False
2024-10-16,15.0,23.0,tromso,False
2024-10-17,14.0,7.0,tromso,False
2024-10-18,19.0,9.0,tromso,False
2024-10-19,26.0,5.0,tromso,False
2024-10-20,13.0,4.0,tromso,False
2024-10-21,11.0,20.0,tromso,False
2024-10-22,20.0,15.0,tromso,False
2024-10-23,18.0,12.0,tromso,False
2024-10-24,17.0,18.0,tromso,False
2024-10-25,21.0,34.0,tromso,False
2024-10-26,22.0,19.0,tromso,False
2024-10-27,13.0,4.0,tromso,False
2024-10-28,15.0,4.0,tromso,False
2024-10-29,12.0,5.0,tromso,False
2024-10-30,20.0,4.0,tromso,False
2024-10-31,13.0,7.0,tromso,False
2024-11-01,23.0,3.0,tromso,False
2024-11-02,16.0,,tromso,False
2024-11-05,20.0,4.0,tromso,False
2024-11-06,15.0,10.0,tromso,False
2024-11-07,21.0,17.0,tromso,False
2024-11-08,22.0,9.0,tromso,False
2024-11-09,24.0,27.0,tromso,False
2024-11-10,15.0,51.0,tromso,False
2024-11-11,22.0,5.0,tromso,False
2024-11-12,9.0,4.0,tromso,False
2024-11-13,12.0,8.0,tromso,False
2024-11-14,20.0,4.0,tromso,False
2024-11-15,15.0,2.0,tromso,False
2024-11-16,11.0,6.0,tromso,False
2024-11-17,19.0,4.0,tromso,False
2024-11-18,19.0,31.0,tromso,False
2024-11-19,20.0,69.0,tromso,False
2024-11-20,29.0,10.0,tromso,False
2024-11-21,15.0,4.0,tromso,False
2024-11-22,8.0,4.0,tromso,False
2024-11-23,16.0,4.0,tromso,False
2024-11-24,17.0,5.0,tromso,False
2024-11-25,17.0,4.0,tromso,False
2024-11-26,17.0,8.0,tromso,False
2024-11-27,20.0,3.0,tromso,False
2024-11-28,8.0,8.0,tromso,False
2024-11-29,19.0,4.0,tromso,False
2024-11-30,13.0,3.0,tromso,False
2024-12-01,8.0,4.0,tromso,False
2024-12-02,16.0,5.0,tromso,False
2024-12-03,21.0,3.0,tromso,False
2024-12-04,14.0,4.0,tromso,False
2024-12-05,14.0,4.0,tromso,False
2024-12-06,14.0,3.0,tromso,False
2024-12-07,14.0,7.0,tromso,False
2024-12-08,21.0,4.0,tromso,False
2024-12-09,10.0,9.0,tromso,False
2024-12-10,30.0,9.0,tromso,False
2024-12-11,26.0,8.0,tromso,False
2024-12-12,19.0,10.0,tromso,False
2024-12-13,21.0,8.0,tromso,False
2024-12-14,15.0,8.0,tromso,False
2024-12-15,7.0,12.0,tromso,False
2024-12-16,24.0,7.0,tromso,False
2024-12-17,21.0,11.0,tromso,False
2024-12-18,30.0,8.0,tromso,False
2024-12-19,15.0,8.0,tromso,False
2024-12-20,19.0,8.0,tromso,False
2024-12-21,24.0,8.0,tromso,False
2024-12-22,22.0,9.0,tromso,False
2024-12-23,28.0,5.0,tromso,False
2024-12-24,14.0,14.0,tromso,False
2024-12-25,23.0,12.0,tromso,False
2024-12-26,24.0,11.0,tromso,False
2024-12-27,23.0,4.0,tromso,False
2024-12-28,11.0,4.0,tromso,False
2024-12-29,10.0,,tromso,False
2024-07-01,12.0,4.0,tromso,False
2024-07-02,12.0,8.0,tromso,False
2024-07-03,12.0,14.0,tromso,False
2024-07-04,12.0,12.0,tromso,False
2024-07-05,12.0,10.0,tromso,False
2024-07-06,12.0,7.0,tromso,False
2024-07-07,13.0,9.0,tromso,False
2024-07-08,16.0,9.0,tromso,False
2024-07-26,49.0,,tromso,False
2024-07-27,43.0,,tromso,False
2024-07-28,21.0,,tromso,False
2024-07-29,41.0,,tromso,False
2024-07-30,45.0,,tromso,False
2024-07-31,47.0,,tromso,False
2024-08-01,56.0,,tromso,False
2024-08-02,53.0,,tromso,False
2024-08-03,40.0,,tromso,False
2024-08-04,54.0,,tromso,False
2024-08-05,96.0,,tromso,False
2024-08-06,371.0,,tromso,False
2024-08-09,13.0,12.0,tromso,False
2024-08-10,11.0,15.0,tromso,False
2024-08-11,14.0,17.0,tromso,False
2024-08-12,31.0,19.0,tromso,False
2024-08-13,18.0,22.0,tromso,False
2024-08-14,23.0,13.0,tromso,False
2024-08-15,27.0,16.0,tromso,False
2024-08-16,24.0,12.0,tromso,False
2024-08-17,16.0,10.0,tromso,False
2024-08-18,16.0,7.0,tromso,False
2024-08-19,19.0,,tromso,False
2024-08-21,36.0,16.0,tromso,False
2024-08-22,20.0,18.0,tromso,False
2024-08-23,24.0,10.0,tromso,False
2024-08-24,19.0,9.0,tromso,False
2024-08-25,15.0,12.0,tromso,False
2024-08-26,21.0,9.0,tromso,False
2024-08-27,20.0,12.0,tromso,False
2024-08-28,31.0,14.0,tromso,False
2024-08-29,19.0,13.0,tromso,False
2024-08-30,24.0,9.0,tromso,False
2024-08-31,22.0,20.0,tromso,False
2024-09-01,43.0,22.0,tromso,False
2024-09-02,31.0,16.0,tromso,False
2024-09-03,19.0,12.0,tromso,False
2024-09-04,20.0,15.0,tromso,False
2024-09-05,25.0,10.0,tromso,False
2024-09-06,16.0,9.0,tromso,False
2024-09-07,18.0,21.0,tromso,False
2024-09-08,38.0,31.0,tromso,False
2024-09-09,50.0,30.0,tromso,False
2024-09-10,47.0,14.0,tromso,False
2024-09-11,23.0,16.0,tromso,False
2024-09-12,19.0,12.0,tromso,False
2024-09-13,20.0,10.0,tromso,False
2024-09-14,17.0,11.0,tromso,False
2024-09-15,18.0,13.0,tromso,False
2024-09-16,20.0,9.0,tromso,False
2024-09-17,14.0,5.0,tromso,False
2024-09-18,14.0,7.0,tromso,False
2024-09-19,17.0,6.0,tromso,False
2024-09-20,14.0,5.0,tromso,False
2024-09-21,16.0,3.0,tromso,False
2024-09-22,11.0,10.0,tromso,False
2024-09-23,13.0,4.0,tromso,False
2024-09-24,11.0,11.0,tromso,False
2024-09-25,13.0,,tromso,False
2024-09-27,24.0,18.0,tromso,False
2024-09-28,21.0,12.0,tromso,False
2024-09-29,21.0,7.0,tromso,False
2024-09-30,14.0,7.0,tromso,False
2024-04-02,33.0,11.0,tromso,False
2024-04-03,20.0,40.0,tromso,False
2024-04-04,41.0,48.0,tromso,False
2024-04-05,46.0,20.0,tromso,False
2024-04-06,27.0,14.0,tromso,False
2024-04-07,21.0,6.0,tromso,False
2024-04-08,18.0,5.0,tromso,False
2024-04-09,19.0,7.0,tromso,False
2024-04-10,18.0,9.0,tromso,False
2024-04-11,26.0,22.0,tromso,False
2024-04-12,30.0,4.0,tromso,False
2024-04-13,14.0,9.0,tromso,False
2024-04-14,24.0,15.0,tromso,False
2024-04-15,30.0,23.0,tromso,False
2024-04-16,33.0,48.0,tromso,False
2024-04-17,50.0,56.0,tromso,False
2024-04-18,57.0,52.0,tromso,False
2024-04-19,54.0,47.0,tromso,False
2024-04-20,50.0,46.0,tromso,False
2024-04-21,47.0,58.0,tromso,False
2024-04-22,57.0,38.0,tromso,False
2024-04-23,44.0,28.0,tromso,False
2024-04-24,37.0,74.0,tromso,False
2024-04-25,79.0,66.0,tromso,False
2024-04-26,67.0,43.0,tromso,False
2024-04-27,49.0,,tromso,False
2024-04-29,78.0,29.0,tromso,False
2024-04-30,42.0,11.0,tromso,False
2024-05-01,24.0,13.0,tromso,False
2024-05-02,25.0,6.0,tromso,False
2024-05-03,18.0,2.0,tromso,False
2024-05-04,12.0,14.0,tromso,False
2024-05-05,22.0,42.0,tromso,False
2024-05-06,48.0,43.0,tromso,False
2024-05-07,66.0,42.0,tromso,False
2024-05-08,70.0,17.0,tromso,False
2024-05-09,42.0,3.0,tromso,False
2024-05-10,27.0,15.0,tromso,False
2024-05-11,39.0,2.0,tromso,False
2024-05-12,17.0,7.0,tromso,False
2024-05-13,24.0,16.0,tromso,False
2024-05-14,42.0,3.0,tromso,False
2024-05-15,25.0,18.0,tromso,False
2024-05-16,43.0,,tromso,False
2024-05-22,56.0,33.0,tromso,False
2024-05-23,60.0,19.0,tromso,False
2024-05-24,47.0,9.0,tromso,False
2024-05-25,36.0,11.0,tromso,False
2024-05-26,35.0,26.0,tromso,False
2024-05-27,54.0,33.0,tromso,False
2024-05-28,66.0,26.0,tromso,False
2024-05-29,58.0,32.0,tromso,False
2024-05-30,65.0,15.0,tromso,False
2024-05-31,43.0,6.0,tromso,False
2024-06-01,31.0,8.0,tromso,False
2024-06-02,33.0,10.0,tromso,False
2024-06-03,26.0,4.0,tromso,False
2024-06-04,12.0,8.0,tromso,False
2024-06-05,12.0,4.0,tromso,False
2024-06-06,13.0,4.0,tromso,False
2024-06-07,13.0,1.0,tromso,False
2024-06-08,11.0,3.0,tromso,False
2024-06-09,12.0,4.0,tromso,False
2024-06-10,12.0,5.0,tromso,False
2024-06-11,13.0,5.0,tromso,False
2024-06-12,13.0,4.0,tromso,False
2024-06-13,12.0,7.0,tromso,False
2024-06-14,12.0,3.0,tromso,False
2024-06-15,12.0,3.0,tromso,False
2024-06-16,12.0,5.0,tromso,False
2024-06-17,13.0,4.0,tromso,False
2024-06-18,12.0,3.0,tromso,False
2024-06-19,12.0,3.0,tromso,False
2024-06-20,12.0,4.0,tromso,False
2024-06-21,14.0,4.0,tromso,False
2024-06-22,12.0,4.0,tromso,False
2024-06-23,12.0,4.0,tromso,False
2024-06-24,13.0,3.0,tromso,False
2024-06-25,13.0,2.0,tromso,False
2024-06-26,13.0,,tromso,False
